Text Command,Topic,Identifier,Action,One Hot Encoded Topic,One Hot Encoded Action,Verb/Noun
Track trends is on track,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",on track
danger Track trends,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",danger
allocate a risky Track trends project,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",BACKTRANSLATED
Track trends project completed,Project,Track trends,Completed,"[0,1]","[0,0,0,0,1]",completed
started on Track trends task,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",started
Track trends is on schedule,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",on schedule
in progress Track trends,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",in progress
end with Track trends,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",BACKTRANSLATED
task Track trends is completed,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",completed
problem with task Track trends,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",problem
risky projects Track trends,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",BACKTRANSLATED
create a new task Track trends,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",BACKTRANSLATED
there is a problem with task Track trends,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",problem
Track trends is in danger,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",is
create a new Track trends,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",BACKTRANSLATED
project Track trends is danger,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",is
Track trends under review,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",BACKTRANSLATED
project Track trends was completed,Project,Track trends,Completed,"[0,1]","[0,0,0,0,1]",completed
task Track trends blocked,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",blocked
project Track trends on track,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",on track
new task Track trends,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",new
at risk Track trends project,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",at risk
create Track trends,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",create
new project Track trends,Project,Track trends,Create,"[0,1]","[1,0,0,0,0]",new
completed Track trends task,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",completed
start Track trends,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",start
Track trends was completed,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",completed
started task Track trends,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",started
assign the block to task Track trends,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",BACKTRANSLATED
Track trends assign danger to the project,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",BACKTRANSLATED
project Track trends problem,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",BACKTRANSLATED
risky Track trends projects,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",BACKTRANSLATED
Track trends is at risk,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",at risk
assign Track trends tasks in progress,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",BACKTRANSLATED
Track trends is on target,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",on target
assign risk to Monitor competition,Project,Monitor competition,At Risk,"[0,1]","[0,0,1,0,0]",BACKTRANSLATED
Monitor competition block,Task,Monitor competition,Blocked,"[1,0]","[0,0,0,1,0]",BACKTRANSLATED
assign Monitor competition project at risk,Project,Monitor competition,At Risk,"[0,1]","[0,0,1,0,0]",assign
task Monitor competition complete,Task,Monitor competition,Completed,"[1,0]","[0,0,0,0,1]",complete
Monitor competition task is completed,Task,Monitor competition,Completed,"[1,0]","[0,0,0,0,1]",completed
assignment to Monitor competition in progress,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",BACKTRANSLATED
Monitor competition assign risk to the project,Project,Monitor competition,At Risk,"[0,1]","[0,0,1,0,0]",BACKTRANSLATED
Monitor competition project is in danger,Project,Monitor competition,Danger,"[0,1]","[0,0,0,1,0]",is
Monitor competition is blocked,Task,Monitor competition,Blocked,"[1,0]","[0,0,0,1,0]",is
created Monitor competition,Task,Monitor competition,To Do,"[1,0]","[1,0,0,0,0]",created
Monitor competition project issues,Project,Monitor competition,Danger,"[0,1]","[0,0,0,1,0]",BACKTRANSLATED
Monitor competition is in progress,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",in progress
assign at risk to Monitor competition project,Project,Monitor competition,At Risk,"[0,1]","[0,0,1,0,0]",assign
assign in review to Monitor competition,Task,Monitor competition,In Review,"[1,0]","[0,0,1,0,0]",assign
project Monitor competition is achieving its goal,Project,Monitor competition,On Target,"[0,1]","[0,1,0,0,0]",BACKTRANSLATED
assign risk to project Monitor competition,Project,Monitor competition,Danger,"[0,1]","[0,0,0,1,0]",BACKTRANSLATED
Monitor competition is complete,Task,Monitor competition,Completed,"[1,0]","[0,0,0,0,1]",complete
starting on task Monitor competition,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",starting
Monitor competition is going well,Project,Monitor competition,On Target,"[0,1]","[0,1,0,0,0]",BACKTRANSLATED
Monitor competition start task,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",BACKTRANSLATED
created new project called Monitor competition,Project,Monitor competition,Create,"[0,1]","[1,0,0,0,0]",created
create new task called Monitor competition,Task,Monitor competition,To Do,"[1,0]","[1,0,0,0,0]",create
project Monitor competition on target,Project,Monitor competition,On Target,"[0,1]","[0,1,0,0,0]",on target
Monitor competition project complete,Project,Monitor competition,Completed,"[0,1]","[0,0,0,0,1]",complete
task Monitor competition completed,Task,Monitor competition,Completed,"[1,0]","[0,0,0,0,1]",completed
assign Monitor competition task in progress,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",assign
created a new Monitor competition,Project,Monitor competition,Create,"[0,1]","[1,0,0,0,0]",BACKTRANSLATED
assign Monitor competition in progress,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",assign
task Monitor competition is in progress,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",in progress
under review Monitor competition,Task,Monitor competition,In Review,"[1,0]","[0,0,1,0,0]",BACKTRANSLATED
create new Monitor competition project,Project,Monitor competition,Create,"[0,1]","[1,0,0,0,0]",create
task Monitor competition in review,Task,Monitor competition,In Review,"[1,0]","[0,0,1,0,0]",in review
started Monitor competition task,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",started
Monitor competition project on schedule,Project,Monitor competition,On Target,"[0,1]","[0,1,0,0,0]",on schedule
Monitor competition tasks in progress,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",BACKTRANSLATED
on target Plan campaign,Project,Plan campaign,On Target,"[0,1]","[0,1,0,0,0]",on target
finished with Plan campaign,Task,Plan campaign,Completed,"[1,0]","[0,0,0,0,1]",finished
Plan campaign create a project,Project,Plan campaign,Create,"[0,1]","[1,0,0,0,0]",BACKTRANSLATED
Plan campaign is dangerous,Project,Plan campaign,Danger,"[0,1]","[0,0,0,1,0]",BACKTRANSLATED
Plan campaign review,Task,Plan campaign,In Review,"[1,0]","[0,0,1,0,0]",review
there is a problem with project Plan campaign,Project,Plan campaign,Danger,"[0,1]","[0,0,0,1,0]",problem
created new project Plan campaign,Project,Plan campaign,Create,"[0,1]","[1,0,0,0,0]",created
Plan campaign task is complete,Task,Plan campaign,Completed,"[1,0]","[0,0,0,0,1]",complete
Plan campaign return to orbit,Project,Plan campaign,On Target,"[0,1]","[0,1,0,0,0]",BACKTRANSLATED
assign project Plan campaign to target,Project,Plan campaign,On Target,"[0,1]","[0,1,0,0,0]",BACKTRANSLATED
Plan campaign project is completed,Project,Plan campaign,Completed,"[0,1]","[0,0,0,0,1]",completed
Plan campaign danger,Project,Plan campaign,Danger,"[0,1]","[0,0,0,1,0]",danger
start on task Plan campaign,Task,Plan campaign,In Progress,"[1,0]","[0,1,0,0,0]",start
Plan campaign aiming for the project,Project,Plan campaign,On Target,"[0,1]","[0,1,0,0,0]",BACKTRANSLATED
Plan campaign task is in progress,Task,Plan campaign,In Progress,"[1,0]","[0,1,0,0,0]",in progress
Plan campaign task in review,Task,Plan campaign,In Review,"[1,0]","[0,0,1,0,0]",in review
risk Plan campaign,Project,Plan campaign,At Risk,"[0,1]","[0,0,1,0,0]",risk
assign to Plan campaign task in review,Task,Plan campaign,In Review,"[1,0]","[0,0,1,0,0]",BACKTRANSLATED
Plan campaign is achieving the goal,Project,Plan campaign,On Target,"[0,1]","[0,1,0,0,0]",BACKTRANSLATED
project Plan campaign complete,Project,Plan campaign,Completed,"[0,1]","[0,0,0,0,1]",complete
start on Plan campaign task,Task,Plan campaign,In Progress,"[1,0]","[0,1,0,0,0]",start
assign at risk to Plan campaign,Project,Plan campaign,At Risk,"[0,1]","[0,0,1,0,0]",assign
assign completion status to Plan campaign,Task,Plan campaign,Completed,"[1,0]","[0,0,0,0,1]",BACKTRANSLATED
assign task Plan campaign in review,Task,Plan campaign,In Review,"[1,0]","[0,0,1,0,0]",assign
project Plan campaign is completed,Project,Plan campaign,Completed,"[0,1]","[0,0,0,0,1]",completed
at risk Plan campaign,Project,Plan campaign,At Risk,"[0,1]","[0,0,1,0,0]",at risk
start with task Plan campaign,Task,Plan campaign,In Progress,"[1,0]","[0,1,0,0,0]",BACKTRANSLATED
task Plan campaign is under review,Task,Plan campaign,In Review,"[1,0]","[0,0,1,0,0]",BACKTRANSLATED
project Plan campaign at risk,Project,Plan campaign,At Risk,"[0,1]","[0,0,1,0,0]",at risk
create a new project Plan campaign,Project,Plan campaign,Create,"[0,1]","[1,0,0,0,0]",BACKTRANSLATED
i created a new project Plan campaign,Project,Plan campaign,Create,"[0,1]","[1,0,0,0,0]",BACKTRANSLATED
create a new task called Plan campaign,Task,Plan campaign,To Do,"[1,0]","[1,0,0,0,0]",BACKTRANSLATED
put project Plan campaign at risk,Project,Plan campaign,At Risk,"[0,1]","[0,0,1,0,0]",BACKTRANSLATED
assign danger to Plan campaign project,Project,Plan campaign,Danger,"[0,1]","[0,0,0,1,0]",assign
assign task Plan campaign in progress,Task,Plan campaign,In Progress,"[1,0]","[0,1,0,0,0]",assign
problem with Direct marketing task,Task,Direct marketing,Blocked,"[1,0]","[0,0,0,1,0]",problem
create new Direct marketing task,Task,Direct marketing,To Do,"[1,0]","[1,0,0,0,0]",create
review task Direct marketing,Task,Direct marketing,In Review,"[1,0]","[0,0,1,0,0]",review
project Direct marketing is in danger,Project,Direct marketing,Danger,"[0,1]","[0,0,0,1,0]",is
Direct marketing on target,Project,Direct marketing,On Target,"[0,1]","[0,1,0,0,0]",on target
danger Direct marketing project,Project,Direct marketing,Danger,"[0,1]","[0,0,0,1,0]",danger
created new Direct marketing project,Project,Direct marketing,Create,"[0,1]","[1,0,0,0,0]",created
create a new Direct marketing task,Task,Direct marketing,To Do,"[1,0]","[1,0,0,0,0]",BACKTRANSLATED
Direct marketing in review,Task,Direct marketing,In Review,"[1,0]","[0,0,1,0,0]",in review
Direct marketing project is danger,Project,Direct marketing,Danger,"[0,1]","[0,0,0,1,0]",is
move Direct marketing to completed,Task,Direct marketing,Completed,"[1,0]","[0,0,0,0,1]",move
Direct marketing there is a problem with the project,Project,Direct marketing,Danger,"[0,1]","[0,0,0,1,0]",BACKTRANSLATED
in review Direct marketing,Task,Direct marketing,In Review,"[1,0]","[0,0,1,0,0]",in review
target project Direct marketing,Project,Direct marketing,On Target,"[0,1]","[0,1,0,0,0]",BACKTRANSLATED
risk Direct marketing project,Project,Direct marketing,At Risk,"[0,1]","[0,0,1,0,0]",risk
project Direct marketing is on track,Project,Direct marketing,On Target,"[0,1]","[0,1,0,0,0]",on track
blocked Direct marketing task,Task,Direct marketing,Blocked,"[1,0]","[0,0,0,1,0]",blocked
assign on target to task Direct marketing,Project,Direct marketing,On Target,"[0,1]","[0,1,0,0,0]",assign
Direct marketing task in progress,Task,Direct marketing,In Progress,"[1,0]","[0,1,0,0,0]",in progress
assign on target to Direct marketing,Project,Direct marketing,On Target,"[0,1]","[0,1,0,0,0]",assign
created task Direct marketing,Task,Direct marketing,To Do,"[1,0]","[1,0,0,0,0]",created
