Text Command,Topic,Identifier,Action,One Hot Encoded Topic,One Hot Encoded Action,Verb/Noun
reviewed task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",review
reviewed x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",review
check task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",check
check x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",check
checking task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",check
checking x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",check
checked task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",check
checked x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",check
check over task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",check
check over x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",check
checking over task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",check
checking over x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",check
checked over task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",check
checked over x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",check
look over task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",look
look over x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",look
looking over task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",look
looking over x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",look
looked over task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",look
looked over x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",look
looking at task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",look
looking at x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",look
looked at task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",look
looked at x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",look
examine task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",examine
examine x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",examine
examining task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",examine
examining x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",examine
examined task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",examine
examined x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",examine
inspect task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",inspect
inspect x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",inspect
inspecting task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",inspect
inspecting x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",inspect
inspected task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",inspect
inspected x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",inspect
fix task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",fix
fix x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",fix
fixing task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",fix
fixing x task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",fix
